Fold,Train_R2,Validation_R2,R2_Gap,Train_MAE,Validation_MAE,Train_RMSE,Validation_RMSE
1,0.7446041459879189,0.595779873332061,0.14882427265585796,7.830975262916791,10.504807951923773,11.509682113467123,15.623616035325252
2,0.7375357502444901,0.6487267545392786,0.0888089957052115,8.318617931023955,10.177726596978502,11.859124631581633,13.716914851737245
3,0.7217358182269311,0.7243560663622151,-0.0026202481352839424,8.715060399734671,7.970750656844242,12.631608941367729,10.069889645540329
4,0.7633148207694169,0.5311470147913016,0.23216780597811537,7.7028613009524625,11.672841231148448,11.111668053398107,16.625459423101344
5,0.7541719564103668,0.5375220747252081,0.21664988168515875,8.357652728366858,10.925345284117856,11.40116171550905,16.149228828716215
